StandardSupplyRecord(cardName: Akroma's Memorial; condition: Unplayed; cost:  6.95; quantity: 1; set: Future Sight; vendor: Gamers' Inn), 
StandardSupplyRecord(cardName: Baru, Fist of Krosa; condition: Unplayed; cost: 0.49; quantity: 2; set: Future Sight; vendor: MTGChicago), 
StandardSupplyRecord(cardName: Baru, Fist of Krosa; condition: Unplayed; cost: 0.49; quantity: 38; set: Future Sight; vendor: HotsauceGames), 
StandardSupplyRecord(cardName: Baru, Fist of Krosa; condition: Unplayed; cost: 0.65; quantity: 13; set: Future Sight; vendor: Comic Asylum), 
StandardSupplyRecord(cardName: Baru, Fist of Krosa; condition: Unplayed; cost: 0.69; quantity: 18; set: Future Sight; vendor: ShuffleandCut), 
StandardSupplyRecord(cardName: Baru, Fist of Krosa; condition: Unplayed; cost: 0.69; quantity: 32; set: Future Sight; vendor: adventuresON), 
StandardSupplyRecord(cardName: Baru, Fist of Krosa; condition: Unplayed; cost: 0.75; quantity: 10; set: Future Sight; vendor: XtremeGames), 
StandardSupplyRecord(cardName: Baru, Fist of Krosa; condition: Unplayed; cost: 0.77; quantity: 43; set: Future Sight; vendor: CCGHouse), 
StandardSupplyRecord(cardName: Baru, Fist of Krosa; condition: Unplayed; cost: 0.79; quantity: 11; set: Future Sight; vendor: GamingETC), 
StandardSupplyRecord(cardName: Baru, Fist of Krosa; condition: Unplayed; cost: 0.79; quantity: 12; set: Future Sight; vendor: SuperGamesInc), 
StandardSupplyRecord(cardName: Baru, Fist of Krosa; condition: Unplayed; cost: 0.79; quantity: 20; set: Future Sight; vendor: Matchplay), 
StandardSupplyRecord(cardName: Baru, Fist of Krosa; condition: Unplayed; cost: 0.79; quantity: 2; set: Future Sight; vendor: TJ Collectibles), 
StandardSupplyRecord(cardName: Baru, Fist of Krosa; condition: Unplayed; cost: 0.85; quantity: 16; set: Future Sight; vendor: TrollandToad), 
StandardSupplyRecord(cardName: Baru, Fist of Krosa; condition: Unplayed; cost: 0.99; quantity: 11; set: Future Sight; vendor: CoolStuffInc), 
StandardSupplyRecord(cardName: Baru, Fist of Krosa; condition: Unplayed; cost: 0.99; quantity: 4; set: Future Sight; vendor: AllCCG), 
StandardSupplyRecord(cardName: Baru, Fist of Krosa; condition: Unplayed; cost: 0.99; quantity: 4; set: Future Sight; vendor: Anthem Games), 
StandardSupplyRecord(cardName: Baru, Fist of Krosa; condition: Unplayed; cost: 0.99; quantity: 8; set: Future Sight; vendor: ABUGames), 
StandardSupplyRecord(cardName: Baru, Fist of Krosa; condition: Unplayed; cost: 1.00; quantity: 4; set: Future Sight; vendor: Alter Reality Games), 
StandardSupplyRecord(cardName: Baru, Fist of Krosa; condition: Unplayed; cost: 1.02; quantity: 16; set: Future Sight; vendor: GlobalMTG), 
StandardSupplyRecord(cardName: Baru, Fist of Krosa; condition: Unplayed; cost: 1.25; quantity: 46; set: Future Sight; vendor: MTGFanatic), 
StandardSupplyRecord(cardName: Baru, Fist of Krosa; condition: Unplayed; cost: 1.25; quantity: 6; set: Future Sight; vendor: Tara Angel’s Magic ), 
StandardSupplyRecord(cardName: Bounteous Kirin; condition: Unplayed; cost: 0.17; quantity: 6; set: Saviors of Kamigawa; vendor: CoreTCG), 
StandardSupplyRecord(cardName: Bounteous Kirin; condition: Unplayed; cost: 0.25; quantity: 1; set: Saviors of Kamigawa; vendor: Cape Fear Games), 
StandardSupplyRecord(cardName: Bounteous Kirin; condition: Unplayed; cost: 0.26; quantity: 8; set: Saviors of Kamigawa; vendor: StrikeZoneOnline), 
StandardSupplyRecord(cardName: Bounteous Kirin; condition: Unplayed; cost: 0.30; quantity: 1; set: Saviors of Kamigawa; vendor: MagicInferno), 
StandardSupplyRecord(cardName: Bounteous Kirin; condition: Unplayed; cost: 0.36; quantity: 1; set: Saviors of Kamigawa; vendor: ChannelFireball), 
StandardSupplyRecord(cardName: Bounteous Kirin; condition: Unplayed; cost: 0.39; quantity: 14; set: Saviors of Kamigawa; vendor: Matchplay), 
StandardSupplyRecord(cardName: Bounteous Kirin; condition: Unplayed; cost: 0.40; quantity: 13; set: Saviors of Kamigawa; vendor: Comic Asylum), 
StandardSupplyRecord(cardName: Bounteous Kirin; condition: Unplayed; cost: 0.42; quantity: 1; set: Saviors of Kamigawa; vendor: Game Cafe)]
StandardSupplyRecord(cardName: Bounteous Kirin; condition: Unplayed; cost: 0.48; quantity: 5; set: Saviors of Kamigawa; vendor: XtremeGames), 
StandardSupplyRecord(cardName: Bounteous Kirin; condition: Unplayed; cost: 0.49; quantity: 10; set: Saviors of Kamigawa; vendor: ABUGames), 
StandardSupplyRecord(cardName: Bounteous Kirin; condition: Unplayed; cost: 0.49; quantity: 12; set: Saviors of Kamigawa; vendor: CoolStuffInc), 
StandardSupplyRecord(cardName: Bounteous Kirin; condition: Unplayed; cost: 0.49; quantity: 16; set: Saviors of Kamigawa; vendor: SuperGamesInc), 
StandardSupplyRecord(cardName: Bounteous Kirin; condition: Unplayed; cost: 0.49; quantity: 22; set: Saviors of Kamigawa; vendor: adventuresON), 
StandardSupplyRecord(cardName: Bounteous Kirin; condition: Unplayed; cost: 0.49; quantity: 48; set: Saviors of Kamigawa; vendor: ShuffleandCut), 
StandardSupplyRecord(cardName: Bounteous Kirin; condition: Unplayed; cost: 0.49; quantity: 5; set: Saviors of Kamigawa; vendor: TheManaCrypt), 
StandardSupplyRecord(cardName: Bounteous Kirin; condition: Unplayed; cost: 0.50; quantity: 10; set: Saviors of Kamigawa; vendor: Alter Reality Games), 
StandardSupplyRecord(cardName: Bounteous Kirin; condition: Unplayed; cost: 0.51; quantity: 60; set: Saviors of Kamigawa; vendor: CCGHouse), 
StandardSupplyRecord(cardName: Bounteous Kirin; condition: Unplayed; cost: 0.59; quantity: 14; set: Saviors of Kamigawa; vendor: HotsauceGames), 
StandardSupplyRecord(cardName: Bounteous Kirin; condition: Unplayed; cost: 0.59; quantity: 22; set: Saviors of Kamigawa; vendor: MTGFanatic), 
StandardSupplyRecord(cardName: Bounteous Kirin; condition: Unplayed; cost: 0.63; quantity: 42; set: Saviors of Kamigawa; vendor: TrollandToad), 
StandardSupplyRecord(cardName: Bounteous Kirin; condition: Unplayed; cost: 0.79; quantity: 9; set: Saviors of Kamigawa; vendor: GamingETC), 
StandardSupplyRecord(cardName: Bounteous Kirin; condition: Unplayed; cost: 0.95; quantity: 5; set: Saviors of Kamigawa; vendor: Tara Angel’s Magic ), 
StandardSupplyRecord(cardName: Bounteous Kirin; condition: Unplayed; cost: 0.99; quantity: 3; set: Saviors of Kamigawa; vendor: Anthem Games), 
StandardSupplyRecord(cardName: Faerie Conclave; condition: Unplayed; cost: 0.57; quantity: 4; set: 10th Edition; vendor: StrikeZoneOnline), 
StandardSupplyRecord(cardName: Faerie Conclave; condition: Unplayed; cost: 0.85; quantity: 2; set: 10th Edition; vendor: TrollandToad), 
StandardSupplyRecord(cardName: Faerie Conclave; condition: Unplayed; cost: 0.89; quantity: 3; set: Urza's Legacy; vendor: GonetoPlaid), 
StandardSupplyRecord(cardName: Faerie Conclave; condition: Unplayed; cost: 0.96; quantity: 11; set: Urza's Legacy; vendor: CoreTCG), 
StandardSupplyRecord(cardName: Faerie Conclave; condition: Unplayed; cost: 0.96; quantity: 75; set: Urza's Legacy; vendor: AllCCG), 
StandardSupplyRecord(cardName: Faerie Conclave; condition: Unplayed; cost: 0.98; quantity: 51; set: Urza's Legacy; vendor: ChannelFireball), 
StandardSupplyRecord(cardName: Faerie Conclave; condition: Unplayed; cost: 0.99; quantity: 10; set: 10th Edition; vendor: Cape Fear Games), 
StandardSupplyRecord(cardName: Faerie Conclave; condition: Unplayed; cost: 0.99; quantity: 15; set: 10th Edition; vendor: ShuffleandCut), 
StandardSupplyRecord(cardName: Faerie Conclave; condition: Unplayed; cost: 0.99; quantity: 1; set: 10th Edition; vendor: Tara Angel’s Magic ), 
StandardSupplyRecord(cardName: Faerie Conclave; condition: Unplayed; cost: 0.99; quantity: 1; set: Urza's Legacy; vendor: HotsauceGames), 
StandardSupplyRecord(cardName: Faerie Conclave; condition: Unplayed; cost: 0.99; quantity: 2; set: Urza's Legacy; vendor: MagicInferno), 
StandardSupplyRecord(cardName: Faerie Conclave; condition: Unplayed; cost: 0.99; quantity: 2; set: Urza's Legacy; vendor: TJ Collectibles), 
StandardSupplyRecord(cardName: Faerie Conclave; condition: Unplayed; cost: 0.99; quantity: 7; set: Urza's Legacy; vendor: SuperGamesInc), 
StandardSupplyRecord(cardName: Faerie Conclave; condition: Unplayed; cost: 1.00; quantity: 19; set: Urza's Legacy; vendor: Alter Reality Games), 
StandardSupplyRecord(cardName: Faerie Conclave; condition: Unplayed; cost: 1.02; quantity: 3; set: Urza's Legacy; vendor: GlobalMTG), 
StandardSupplyRecord(cardName: Faerie Conclave; condition: Unplayed; cost: 1.05; quantity: 7; set: 10th Edition; vendor: GamingETC), 
StandardSupplyRecord(cardName: Faerie Conclave; condition: Unplayed; cost: 1.19; quantity: 13; set: 10th Edition; vendor: Ccg Bot), 
StandardSupplyRecord(cardName: Faerie Conclave; condition: Unplayed; cost: 1.19; quantity: 16; set: 10th Edition; vendor: ABUGames), 
StandardSupplyRecord(cardName: Faerie Conclave; condition: Unplayed; cost: 1.31; quantity: 2; set: 10th Edition; vendor: TheManaCrypt), 
StandardSupplyRecord(cardName: Faerie Conclave; condition: Unplayed; cost: 1.49; quantity: 10; set: 10th Edition; vendor: CoolStuffInc), 
StandardSupplyRecord(cardName: Faerie Conclave; condition: Unplayed; cost: 1.49; quantity: 25; set: 10th Edition; vendor: adventuresON), 
StandardSupplyRecord(cardName: Faerie Conclave; condition: Unplayed; cost: 1.50; quantity: 1; set: Urza's Legacy; vendor: Anthem Games), 
StandardSupplyRecord(cardName: Faerie Conclave; condition: Unplayed; cost: 1.55; quantity: 40; set: 10th Edition; vendor: CCGHouse), 
StandardSupplyRecord(cardName: Faerie Conclave; condition: Unplayed; cost: 1.75; quantity: 4; set: Urza's Legacy; vendor: Comic Asylum), 
StandardSupplyRecord(cardName: Faerie Conclave; condition: Unplayed; cost: 1.80; quantity: 5; set: Urza's Legacy; vendor: XtremeGames), 
StandardSupplyRecord(cardName: Faerie Conclave; condition: Unplayed; cost: 1.99; quantity: 88; set: Urza's Legacy; vendor: MTGFanatic), 
StandardSupplyRecord(cardName: Faerie Conclave; condition: Unplayed; cost: 2.69; quantity: 3; set: 10th Edition; vendor: Matchplay), 
StandardSupplyRecord(cardName: Kaysa; condition: Unplayed; cost: 0.99; quantity: 3; set: Alliances; vendor: HotsauceGames), 
StandardSupplyRecord(cardName: Kaysa; condition: Unplayed; cost: 0.99; quantity: 6; set: Alliances; vendor: ChannelFireball), 
StandardSupplyRecord(cardName: Kaysa; condition: Unplayed; cost: 0.99; quantity: 6; set: Alliances; vendor: CoreTCG), 
StandardSupplyRecord(cardName: Kaysa; condition: Unplayed; cost: 1.00; quantity: 2; set: Alliances; vendor: Gamers' Inn), 
StandardSupplyRecord(cardName: Kaysa; condition: Unplayed; cost: 1.06; quantity: 2; set: Alliances; vendor: TrollandToad), 
StandardSupplyRecord(cardName: Kaysa; condition: Unplayed; cost: 1.29; quantity: 2; set: Alliances; vendor: Matchplay), 
StandardSupplyRecord(cardName: Kaysa; condition: Unplayed; cost: 1.29; quantity: 3; set: Alliances; vendor: Comic Asylum), 
StandardSupplyRecord(cardName: Kaysa; condition: Unplayed; cost: 1.35; quantity: 3; set: Alliances; vendor: XtremeGames), 
StandardSupplyRecord(cardName: Kaysa; condition: Unplayed; cost: 1.35; quantity: 5; set: Alliances; vendor: TheManaCrypt), 
StandardSupplyRecord(cardName: Kaysa; condition: Unplayed; cost: 1.44; quantity: 9; set: Alliances; vendor: AllCCG), 
StandardSupplyRecord(cardName: Kaysa; condition: Unplayed; cost: 1.49; quantity: 10; set: Alliances; vendor: SuperGamesInc), 
StandardSupplyRecord(cardName: Kaysa; condition: Unplayed; cost: 1.49; quantity: 1; set: Alliances; vendor: GlobalMTG), 
StandardSupplyRecord(cardName: Kaysa; condition: Unplayed; cost: 1.49; quantity: 2; set: Alliances; vendor: Ccg Bot), 
StandardSupplyRecord(cardName: Kaysa; condition: Unplayed; cost: 1.49; quantity: 7; set: Alliances; vendor: ShuffleandCut), 
StandardSupplyRecord(cardName: Kaysa; condition: Unplayed; cost: 1.49; quantity: 8; set: Alliances; vendor: ABUGames), 
StandardSupplyRecord(cardName: Kaysa; condition: Unplayed; cost: 1.99; quantity: 10; set: Alliances; vendor: adventuresON), 
StandardSupplyRecord(cardName: Kaysa; condition: Unplayed; cost: 1.99; quantity: 11; set: Alliances; vendor: MTGFanatic), 
StandardSupplyRecord(cardName: Kaysa; condition: Unplayed; cost: 2.09; quantity: 38; set: Alliances; vendor: CCGHouse), 
StandardSupplyRecord(cardName: Kaysa; condition: Unplayed; cost: 2.13; quantity: 7; set: Alliances; vendor: StrikeZoneOnline), 
StandardSupplyRecord(cardName: Kaysa; condition: Unplayed; cost: 2.99; quantity: 5; set: Alliances; vendor: CoolStuffInc), 
StandardSupplyRecord(cardName: Mirari's Wake; condition: Unplayed; cost:  4.29; quantity: 5; set: Judgment; vendor: adventuresON), 
StandardSupplyRecord(cardName: Mirari's Wake; condition: Unplayed; cost:  4.49; quantity: 1; set: Judgment; vendor: MagicInferno), 
StandardSupplyRecord(cardName: Mirari's Wake; condition: Unplayed; cost:  4.89; quantity: 2; set: Judgment; vendor: Matchplay), 
StandardSupplyRecord(cardName: Mirari's Wake; condition: Unplayed; cost:  4.99; quantity: 3; set: Judgment; vendor: ChannelFireball), 
StandardSupplyRecord(cardName: Mirari's Wake; condition: Unplayed; cost:  4.99; quantity: 4; set: Judgment; vendor: SuperGamesInc), 
StandardSupplyRecord(cardName: Mirari's Wake; condition: Unplayed; cost:  4.99; quantity: 5; set: Judgment; vendor: CoreTCG), 
StandardSupplyRecord(cardName: Mirari's Wake; condition: Unplayed; cost:  4.99; quantity: 9; set: Judgment; vendor: Alter Reality Games), 
StandardSupplyRecord(cardName: Mirari's Wake; condition: Unplayed; cost:  5.99; quantity: 4; set: Judgment; vendor: ABUGames), 
StandardSupplyRecord(cardName: Mirari's Wake; condition: Unplayed; cost:  6.29; quantity: 8; set: Judgment; vendor: CCGHouse), 
StandardSupplyRecord(cardName: Mirari's Wake; condition: Unplayed; cost:  9.99; quantity: 2; set: Judgment; vendor: GamingETC), 
StandardSupplyRecord(cardName: Mirari's Wake; condition: Unplayed; cost: 10.69; quantity: 8; set: Judgment; vendor: StrikeZoneOnline), 
StandardSupplyRecord(cardName: Molimo, Maro-Sorcerer; condition: Unplayed; cost: 0.25; quantity: 3; set: Invasion; vendor: Alter Reality Games), 
StandardSupplyRecord(cardName: Molimo, Maro-Sorcerer; condition: Unplayed; cost: 0.25; quantity: 6; set: Invasion; vendor: CoreTCG), 
StandardSupplyRecord(cardName: Molimo, Maro-Sorcerer; condition: Unplayed; cost: 0.43; quantity: 2; set: 10th Edition; vendor: VolcanicMagic), 
StandardSupplyRecord(cardName: Molimo, Maro-Sorcerer; condition: Unplayed; cost: 0.45; quantity: 11; set: 10th Edition; vendor: MagicInferno), 
StandardSupplyRecord(cardName: Molimo, Maro-Sorcerer; condition: Unplayed; cost: 0.45; quantity: 2; set: Invasion; vendor: Gamers' Inn), 
StandardSupplyRecord(cardName: Molimo, Maro-Sorcerer; condition: Unplayed; cost: 0.48; quantity: 13; set: 10th Edition; vendor: GamingETC), 
StandardSupplyRecord(cardName: Molimo, Maro-Sorcerer; condition: Unplayed; cost: 0.49; quantity: 23; set: 10th Edition; vendor: ShuffleandCut), 
StandardSupplyRecord(cardName: Molimo, Maro-Sorcerer; condition: Unplayed; cost: 0.49; quantity: 3; set: 10th Edition; vendor: adventuresON), 
StandardSupplyRecord(cardName: Molimo, Maro-Sorcerer; condition: Unplayed; cost: 0.49; quantity: 7; set: 10th Edition; vendor: Cape Fear Games), 
StandardSupplyRecord(cardName: Molimo, Maro-Sorcerer; condition: Unplayed; cost: 0.49; quantity: 9; set: 10th Edition; vendor: ChannelFireball), 
